index	word	sentence1	sentence2	start1	start2	end1	end2	label	sentence2_neg	neg_label	tag
0	modify	Please modify this letter to make it more polite.	He modified his views on same-gender marriage.	7	3	13	11	1	He modified his views on different gender marriage.	1	antonym
1	tipper	A generous tipper.	The Americans are among the most generous tippers in the world.	11	42	17	49	1	The Americans are among the most stingy tippers in the world.	1	antonym
2	tipper	A generous tipper.	The Americans are among the most generous tippers in the world.	11	42	17	49	1	The Americans are among the most ungenerous tippers in the world.	1	antonym
3	command	To command an army or a ship.	Command the military forces.	3	0	10	7	1	Command the civilian forces.	1	antonym
4	develop	Children must develop a sense of right and wrong.	We have developed a new theory of evolution.	14	8	21	17	0	We have developed a worn theory of evolution.	0	antonym
5	reline	Reline the paper.	The old fur coat must be relined.	0	25	6	32	0	The new fur coat must be relined.	0	antonym
6	develop	Children must develop a sense of right and wrong.	We have developed a new theory of evolution.	14	8	21	17	0	We have developed an old theory of evolution.	0	antonym
7	capacity	Limited runway capacity.	He should be retained in his present capacity at a higher salary.	15	37	23	45	0	He should be retained in his past capacity at a higher salary.	0	antonym
8	pronunciation	That is the correct pronunciation.	The pronunciation of Chinese is difficult for foreigners.	20	4	33	17	1	The pronunciation of Chinese is manageable for foreigners.	1	antonym
9	capacity	Limited runway capacity.	He should be retained in his present capacity at a higher salary.	15	37	23	45	0	He should be retained in his future capacity at a higher salary.	0	antonym
10	reappearance	The reappearance of Halley's comet.	His reappearance as Hamlet has been long awaited.	4	4	16	16	0	His reappearance as Hamlet has been short awaited.	0	antonym
11	dollar	He worships the almighty dollar.	The dollar coin has never been popular in the United States.	25	4	31	10	0	The dollar coin has always been popular in the United States.	0	antonym
12	characterize	You can characterize his behavior as that of an egotist.	This poem can be characterized as a lament for a dead lover.	8	17	20	30	1	This poem can be characterized as a lament for a live lover.	1	antonym
13	characterize	You can characterize his behavior as that of an egotist.	This poem can be characterized as a lament for a dead lover.	8	17	20	30	1	This poem can be characterized as a lament for an alive lover.	1	antonym
14	dollar	He worships the almighty dollar.	The dollar coin has never been popular in the United States.	25	4	31	10	0	The dollar coin has never been unpopular in the United States.	0	antonym
15	act	She wants to act Lady Macbeth, but she is too young for the role.	I started acting at the age of eleven in my local theatre.	13	10	16	16	1	I started acting at the age of eleven in my national theater.	1	antonym
16	motivation	We did not understand his motivation.	His motivation was at a high level.	26	4	36	14	0	His motivation was at a low level.	0	antonym
17	recruit	Recruit new soldiers.	The lab director recruited an able crew of assistants.	0	17	7	26	0	The lab director recruited an unable crew of assistants.	0	antonym
18	last	Summer seems to last longer each year.	The bad weather lasted for three days.	16	16	20	22	1	The good weather lasted for three days.	1	antonym
19	view	They look the same in outward view.	The most desirable feature of the park are the beautiful views.	30	57	34	62	0	The least desirable feature of the park are the beautiful views.	0	antonym
20	inject	Inject heroin.	He injected new life into the performance.	0	3	6	11	0	He injected old life into the performance.	0	antonym
21	view	They look the same in outward view.	The most desirable feature of the park are the beautiful views.	30	57	34	62	0	The most desirable feature of the park are the ugly views.	0	antonym
22	pronunciation	That is the correct pronunciation.	The pronunciation of Chinese is difficult for foreigners.	20	4	33	17	1	The pronunciation of Chinese is easy for foreigners.	1	antonym
23	break	Make a break for it.	He finally got his big break.	7	23	12	28	0	He finally got his small break.	0	antonym
24	result	Result in tragedy.	This measure will result in good or in evil.	0	18	6	24	1	This measure will result in bad or in evil.	1	antonym
25	result	Result in tragedy.	This measure will result in good or in evil.	0	18	6	24	1	This measure will result in ill or in evil.	1	antonym
26	experience	A surprising experience.	Experience is the best teacher.	13	0	23	10	0	Experience is the worst teacher.	0	antonym
27	noise	He knew that it was trash day, when the garbage collectors made all the noise.	They heard indistinct noises of people talking.	72	22	77	28	0	They heard distinct noises of people talking.	0	antonym
28	addition	The addition of a leap day every four years.	The addition of a bathroom was a major improvement.	4	4	12	12	0	The addition of a bathroom was a minor improvement.	0	antonym
29	figure	Elections figure prominently in every government program.	How do the elections figure in the current pattern of internal politics?	10	21	16	27	1	How do the elections figure in the current pattern of external politics ?	1	antonym
30	trailer	The trailer for that movie makes it seem like it would be fun.	At the end of the day, we put the snowmobiles back on the trailer.	4	58	11	65	0	At the end of the day, we put the snowmobiles front on the trailer.	0	antonym
31	trailer	The trailer for that movie makes it seem like it would be fun.	At the end of the day, we put the snowmobiles back on the trailer.	4	58	11	65	0	At the end of the day, we put the snowmobiles forward on the trailer.	0	antonym
32	mandate	Mandate a colony.	The new director of the school board mandated regular tests.	0	37	7	45	0	The old director of the school board mandated regular tests.	0	antonym
33	segregate	Experiments show clearly that genes segregate.	Many towns segregated into new counties.	36	11	45	21	1	Many towns segregated into old counties.	1	antonym
34	grip	In Britain they call a bobby pin a grip.	They kept a firm grip on the two top priorities.	35	17	39	21	0	They kept a firm grip on the two bottom priorities.	0	antonym
35	oppression	The tyrant's oppression of the people.	The oppression of the poor by the aristocracy was one cause of the French Revolution.	13	4	23	14	1	The oppression of the rich by the aristocracy was one cause of the French Revolution.	1	antonym
36	share	Our children share a love of music.	The two countries share a long border.	13	18	18	23	1	The two countries share a short border.	1	antonym
37	knuckleball	Even the pitcher doesn't know where his knuckleball is going.	Boston Red Sox pitcher Tim Wakefield is best known for his use of the knuckleball.	40	70	51	81	1	Boston Red Sox pitcher Tim Wakefield is worst known for his use of the knuckle ball.	1	antonym
38	block	Block the signals emitted by this station.	The thick curtain blocked the action on the stage.	0	18	5	25	0	The thin curtain blocked the action on the stage.	0	antonym
39	harass	Harass the enemy.	This man harasses his female co-workers.	0	9	6	17	0	This man harasses his androgynous co-workers.	0	antonym
40	harass	Harass the enemy.	This man harasses his female co-workers.	0	9	6	17	0	This man harasses his male co-workers.	0	antonym
41	scrap	The unhappy couple got into a terrible scrap.	That car isn't good for anything but scrap.	39	37	44	42	0	That car isn't bad for anything but scrap.	0	antonym
42	break	Make a break for it.	He finally got his big break.	7	23	12	28	0	He finally got his little break.	0	antonym
43	mandate	Mandate a colony.	The new director of the school board mandated regular tests.	0	37	7	45	0	The new director of the school board mandated irregular tests.	0	antonym
44	view	They look the same in outward view.	The most desirable feature of the park are the beautiful views.	30	57	34	62	0	The most undesirable feature of the park are the beautiful views.	0	antonym
45	branch	A branch of Congress.	We have branches in all major suburbs.	2	8	8	16	1	We have branches in all minor suburbs.	1	antonym
46	patronage	The restaurant had an upper class patronage.	Even before noon there was a considerable patronage.	34	42	43	51	0	Even before noon there was an inconsiderable patronage.	0	antonym
47	portfolio	He remembered her because she was carrying a large portfolio.	He holds the portfolio for foreign affairs.	51	13	60	22	0	He holds the portfolio for domestic affairs.	0	antonym
48	modify	Please modify this letter to make it more polite.	He modified his views on same-gender marriage.	7	3	13	11	1	He modified his views on other gender marriage.	1	antonym
49	mess	The house was a mess.	My boss dumped a whole mess of projects on my desk today.	16	23	20	27	0	My boss dumped a fractional mess of projects on my desk today.	0	antonym
50	mess	The house was a mess.	My boss dumped a whole mess of projects on my desk today.	16	23	20	27	0	My boss dumped a half mess of projects on my desk today.	0	antonym
51	gap	Gap between income and outgo.	The exploring party went through the high gap in the mountains.	0	42	3	45	0	The exploring party went through the low gap in the mountains.	0	antonym
52	daughter	I already have a son, so I would like to have a daughter.	Her daughter cared for her in her old age.	48	4	56	12	1	Her daughter cared for her in her young age.	1	antonym
53	accession	Accession to such demands would set a dangerous precedent.	The librarian shelved the new accessions.	0	30	9	40	0	The librarian shelved the old accessions.	0	antonym
54	rehearsal	A rehearsal will be held the day before the wedding.	He missed too many rehearsals.	2	19	11	29	1	He missed too few rehearsals.	1	antonym
55	portfolio	He remembered her because she was carrying a large portfolio.	He holds the portfolio for foreign affairs.	51	13	60	22	0	He holds the portfolio for native affairs.	0	antonym
56	section	There are three synagogues in the Jewish section.	Sections from the left ventricle showed diseased tissue.	41	0	48	8	0	Sections from the right ventricle showed diseased tissue.	0	antonym
57	abridge	The new law might abridge our freedom of expression.	He had his rights abridged by the crooked sheriff.	18	18	25	26	1	He had his rights abridged by the straight sheriff.	1	antonym
58	preempt	Discussion of the emergency situation will preempt the lecture by the professor.	Live broadcast of the presidential debate preempts the regular news hour.	43	42	50	50	1	Live broadcast of the presidential debate preempts the irregular news hour.	1	antonym
59	finish	My horse was several lengths behind at the finish.	The winner is the team with the most points at the finish.	43	51	49	57	1	The winner is the team with the fewest points at the finish.	1	antonym
60	finish	My horse was several lengths behind at the finish.	The winner is the team with the most points at the finish.	43	51	49	57	1	The winner is the team with the least points at the finish.	1	antonym
61	tear	He took the manuscript in both hands and gave it a mighty tear.	There were big tears rolling down Lisa's cheeks.	58	15	62	20	0	There were little tears rolling down Lisa's cheeks.	0	antonym
62	tear	He took the manuscript in both hands and gave it a mighty tear.	There were big tears rolling down Lisa's cheeks.	58	15	62	20	0	There were small tears rolling down Lisa's cheeks.	0	antonym
63	hitter	A hard hitter.	Blacksmiths are good hitters.	7	21	13	28	1	Blacksmiths are bad hitters.	1	antonym
64	construction	The engineer marvelled at his construction.	Construction is underway on the new bridge.	30	0	42	12	0	Construction is underway on the old bridge.	0	antonym
65	kinship	Anthropology's kinship with the humanities.	Felt a deep kinship with the other students.	15	12	22	19	1	Felt a shallow kinship with the other students.	1	antonym
66	taste	To ask at that particular time was the ultimate in bad taste.	He got a taste of life on the wild side.	55	9	60	14	0	He got a taste of life on the tame side.	0	antonym
67	fiddle	Don't fiddle with the screws.	She always fiddles with her van on the weekend.	6	11	12	18	0	She never fiddles with her van on the weekend.	0	antonym
68	street	Be careful crossing the street.	The whole street protested the absence of lights.	24	10	30	16	0	The half street protested the absence of lights.	0	antonym
69	render	Render the brick walls in the den.	The face of the child is rendered with much tenderness in this painting.	0	25	6	33	0	The face of the child is rendered with little tenderness in this painting.	0	antonym
70	remove	Remove a wrapper.	The President removed many postmasters.	0	14	6	21	0	The President removed few postmasters.	0	antonym
71	abuse	All abuse, whether physical, verbal, psychological or sexual, is bad.	The child showed signs of physical abuse.	4	35	9	40	1	The child showed signs of mental abuse.	1	antonym
72	extension	The dancer was praised for her uncanny extension.	Good extension comes from a combination of training and native ability.	39	5	48	14	1	Good extension comes from a combination of training and nonnative ability.	1	antonym
73	gem	He had the gem set in a ring for his wife.	She's an absolute gem.	11	18	14	21	0	She's a relative gem.	0	antonym
74	bye	He had a bye in the first round.	Craig's Crew plays the bye next week.	9	23	12	26	1	Craig's Crew played the bye previous week.	1	antonym
75	surface	It was not what it appeared to be on the surface.	The cloth had a pattern of red dots on a white surface.	41	47	48	54	0	The cloth had a pattern of red dots on a black surface.	0	antonym
76	streak	A streak of wildness.	He has a stubborn streak.	2	18	8	24	1	He has a docile streak.	1	antonym
77	fondler	The woman charged that her jailer was a fondler.	Not all fondlers are sexual perverts.	40	8	47	16	1	Not all fondles are asexual perverts.	1	antonym
78	draw	The luck of the draw.	They anticipated a tough draw.	16	25	20	29	1	They anticipated a tender draw.	1	antonym
79	tap	Tap a cask of wine.	He tapped a new barrel of beer.	0	3	3	9	1	He tapped an old barrel of beer.	1	antonym
80	ticket	This car could be just the ticket for a small family.	Joe will be running on an anti-crime ticket.	27	37	33	43	0	Joe will be running on a pro-crime ticket.	0	antonym
81	way	They didn't have much in the way of clothing.	We went our separate ways.	29	21	32	25	0	We went our joint ways.	0	antonym
82	upset	Truman upset Dewey in the 1948 US presidential election.	The foreign team upset the local team.	7	17	12	22	1	The native team upset the local team.	1	antonym
83	upset	Truman upset Dewey in the 1948 US presidential election.	The foreign team upset the local team.	7	17	12	22	1	The domestic team upset the local team.	1	antonym
84	upset	Truman upset Dewey in the 1948 US presidential election.	The foreign team upset the local team.	7	17	12	22	1	The foreign team upset the national team.	1	antonym
85	transplant	These delicate plants do not transplant easily.	Transplant the young rice plants.	29	0	39	10	0	Transplant the old rice plants.	0	antonym
86	preparation	He left the preparation of meals to his wife.	The resolution of one dissonance is often the preparation for another dissonance.	12	46	23	57	0	The resolution of one dissonance is seldom the preparation for another dissonance.	0	antonym
87	preparation	He left the preparation of meals to his wife.	The resolution of one dissonance is often the preparation for another dissonance.	12	46	23	57	0	The resolution of one dissonance is rarely the preparation for another dissonance.	0	antonym
88	preparation	He left the preparation of meals to his wife.	The resolution of one dissonance is often the preparation for another dissonance.	12	46	23	57	0	The resolution of one dissonance is infrequently the preparation for another dissonance.	0	antonym
89	street	Be careful crossing the street.	The whole street protested the absence of lights.	24	10	30	16	0	The fractional street protested the absence of lights.	0	antonym
90	circumference	A danger to all races over the whole circumference of the globe.	He had walked the full circumference of his land.	37	23	50	36	1	He had walked the empty circumference of his land.	1	antonym
91	criticize	Those who criticize others often are not perfect, either.	The paper criticized the new movie.	10	10	19	20	0	The paper criticized the old movie.	0	antonym
92	sophistication	He practiced the art of sophistication upon reason.	Understanding affine transformations requires considerable mathematical sophistication.	24	72	38	86	0	Understanding affine transformations requires inconsiderable mathematical sophistication.	0	antonym
93	bridge	Her glasses left marks on the bridge of her nose.	Rugby players often break the bridge of their noses.	30	30	36	36	1	Rugby players rarely break the bridge of their noses.	1	antonym
94	gargle	Gargle with this liquid.	Every morning he gargled a little cheap Scotch.	0	17	6	24	1	Every morning he gargled a little expensive Scotch.	1	antonym
95	drought	When England defeated Pakistan it ended a ten-year drought.	Farmers most affected by the drought hope that there may yet be sufficient rain early in the growing season.	51	29	58	36	0	Farmers most affected by the drought hope that there may yet be sufficient rain late in the growing season.	0	antonym
96	drought	When England defeated Pakistan it ended a ten-year drought.	Farmers most affected by the drought hope that there may yet be sufficient rain early in the growing season.	51	29	58	36	0	Farmers most affected by the drought hope that there may yet be insufficient rain early in the growing season.	0	antonym
97	pound	The locks pound the water of the canal.	Pound the roots with a heavy flat stone.	10	0	15	5	0	Pound the roots with a heavy sharp stone.	0	antonym
98	avail	It will avail them to dispose of their booty.	He availed himself of the available resources.	8	3	13	10	0	He availed himself of the unavailable resources.	0	antonym
99	configure	Configure a plane for a combat mission.	Configure my new computer.	0	0	9	9	1	Configure my worn computer.	1	antonym
100	diet	The diet of the Giant Panda consists mainly of bamboo.	He's been reading a steady diet of nonfiction for the last several years.	4	27	8	31	0	He's been reading a steady diet of nonfiction for the first several years.	0	antonym
101	diet	The diet of the Giant Panda consists mainly of bamboo.	He's been reading a steady diet of nonfiction for the last several years.	4	27	8	31	0	He's been reading an unsteady diet of nonfiction for the last several years.	0	antonym
102	bottom	They started at the bottom of the hill.	They did much of their overseas trade in foreign bottoms.	20	49	26	56	0	They did much of their overseas trade in native bottoms.	0	antonym
103	configure	Configure a plane for a combat mission.	Configure my new computer.	0	0	9	9	1	Configure my old computer.	1	antonym
104	obstacle	Lack of imagination is an obstacle to one's advancement.	The poverty of a district is an obstacle to good education.	26	32	34	40	1	The poverty of a district is an obstacle to ill education.	1	antonym
105	obstacle	Lack of imagination is an obstacle to one's advancement.	The poverty of a district is an obstacle to good education.	26	32	34	40	1	The poverty of a district is an obstacle to bad education.	1	antonym
106	walk	After the blizzard he shoveled the front walk.	Walking is a healthy form of exercise.	41	0	45	7	0	Walking is an unhealthy form of exercise.	0	antonym
107	explanation	The explanation was very simple.	The explanation was long and drawn-out.	4	4	15	15	1	The explanation was short and drawn  out.	1	antonym
108	attitude	The airliner had to land with a nose-up attitude after the incident.	The actor struck just the right attitude.	40	32	48	40	0	The actor struck just the incorrect attitude.	0	antonym
109	attitude	The airliner had to land with a nose-up attitude after the incident.	The actor struck just the right attitude.	40	32	48	40	0	The actor struck just the wrong attitude.	0	antonym
110	transfer	The transfer of the music from record to tape suppressed much of the background noise.	The best student was a transfer from LSU.	4	23	12	31	0	The worst student was a transfer from LSU.	0	antonym
111	update	I need to update my records to take account of the most recent transaction.	We updated the kitchen in the old house.	10	3	16	10	1	We updated the kitchen in the new house.	1	antonym
112	steam	Just steam the vegetables.	Her indifference to his amorous advances really steamed the young man.	5	48	10	55	0	Her indifference to his amorous advances really steamed the old man.	0	antonym
113	denizen	The bald eagle is a denizen of the northern part of the state.	The giant squid is one of many denizens of the deep.	20	31	27	39	0	The giant squid is one of few denizens of the deep.	0	antonym
114	spread	The invaders spread their language all over the country.	A big oil spot spread across the water.	13	15	19	21	0	A small oil spot spread across the water.	0	antonym
115	socialization	Force socialization rarely creates strong friendships, but there are exceptions.	There was too much socialization with the enlisted men.	6	19	19	32	1	There was too little socialization with the enlisted men.	1	antonym
116	bull	He was a bull of a man.	He made a bad bull of the assignment.	9	14	13	18	0	He made a good bull of the assignment.	0	antonym
117	bottom	They started at the bottom of the hill.	They did much of their overseas trade in foreign bottoms.	20	49	26	56	0	They did much of their overseas trade in domestic bottoms.	0	antonym
118	escalation	Higher wages caused an escalation of prices.	There was a gradual escalation of hostilities.	23	20	33	30	1	There was a steep escalation of hostilities.	1	antonym
119	spread	The invaders spread their language all over the country.	A big oil spot spread across the water.	13	15	19	21	0	A little oil spot spread across the water.	0	antonym
120	embellish	To embellish a story, the truth.	The old book cover was embellished with golden letters.	3	23	12	34	1	The new book cover was embellished with golden letters.	1	antonym
121	pity	It's a pity he couldn't do it.	The blind are too often objects of pity.	7	35	11	39	0	The blind are too rarely objects of pity.	0	antonym
122	contradistinction	Sculpture in contradistinction to painting.	We used hamburgers and soda in contradistinction to healthy food.	13	31	30	48	1	We used hamburgers and soda in contradistinction to unhealthy food.	1	antonym
123	consult	They had to consult before arriving at a decision.	Consult your local broker.	12	0	19	7	1	Consult your national broker.	1	antonym
124	escalation	Higher wages caused an escalation of prices.	There was a gradual escalation of hostilities.	23	20	33	30	1	There was a sudden escalation of hostilities.	1	antonym
125	recreation	For recreation he wrote poetry and solved crossword puzzles.	Drug abuse is often regarded as a form of recreation.	4	42	14	52	1	Drug abuse is seldom regarded as a form of recreation.	1	antonym
126	clime	Plants from a cold clime travel best in winter.	After working hard all of his life, Max retired to warmer climes in Florida.	19	58	24	64	1	After working easy all of his life, Max retired to warmer climes in Florida.	1	antonym
127	recreation	For recreation he wrote poetry and solved crossword puzzles.	Drug abuse is often regarded as a form of recreation.	4	42	14	52	1	Drug abuse is infrequently regarded as a form of recreation.	1	antonym
128	recreation	For recreation he wrote poetry and solved crossword puzzles.	Drug abuse is often regarded as a form of recreation.	4	42	14	52	1	Drug abuse is rarely regarded as a form of recreation.	1	antonym
129	pity	It's a pity he couldn't do it.	The blind are too often objects of pity.	7	35	11	39	0	The blind are too infrequently objects of pity.	0	antonym
130	maneuver	He made a great maneuver.	Parallel parking can be a difficult maneuver.	16	36	24	44	1	Parallel parking can be an easy maneuver.	1	antonym
131	clap	The children began to clap in time with the music.	The big bird clapped its wings.	22	13	26	20	0	The little bird clapped its wings.	0	antonym
132	forwarding	The forwarding of resumes to the personnel department.	The forwarding of mail to a new address is done automatically.	4	4	14	14	1	The forwarding of mail to an old address is done automatically.	1	antonym
133	pound	The locks pound the water of the canal.	Pound the roots with a heavy flat stone.	10	0	15	5	0	Pound the roots with a light flat stone.	0	antonym
134	bottom	They started at the bottom of the hill.	They did much of their overseas trade in foreign bottoms.	20	49	26	56	0	They did little of their overseas trade in foreign bottoms.	0	antonym
135	bridge	Her glasses left marks on the bridge of her nose.	Rugby players often break the bridge of their noses.	30	30	36	36	1	Rugby players seldom break the bridge of their noses.	1	antonym
136	maneuver	He made a great maneuver.	Parallel parking can be a difficult maneuver.	16	36	24	44	1	Parallel parking can be a manageable maneuver.	1	antonym
137	clap	The children began to clap in time with the music.	The big bird clapped its wings.	22	13	26	20	0	The small bird clapped its wings.	0	antonym
138	criticism	The senator received severe criticism from his opponent.	The politician received a lot of public criticism for his controversial stance on the issue.	28	40	37	49	0	The politician received a lot of public criticism for his noncontroversial stance on the issue.	0	antonym
139	bridge	Her glasses left marks on the bridge of her nose.	Rugby players often break the bridge of their noses.	30	30	36	36	1	Rugby players infrequently break the bridge of their noses.	1	antonym
140	criticism	The senator received severe criticism from his opponent.	The politician received a lot of public criticism for his controversial stance on the issue.	28	40	37	49	0	The politician received a lot of public criticism for his uncontroversial stance on the issue.	0	antonym
141	criticism	The senator received severe criticism from his opponent.	The politician received a lot of public criticism for his controversial stance on the issue.	28	40	37	49	0	The politician received a lot of private criticism for his controversial stance on the issue.	0	antonym
142	seize	Birds of prey often seize small mammals.	The invaders seized the land and property of the inhabitants.	20	13	25	19	0	The invaders didn't seize the land and property of the inhabitants.	0	negation
143	crush	To crush grapes.	The car crushed the toy.	3	8	8	15	0	The car didn't crush the toy.	0	negation
144	profession	A profession of disagreement.	My father was a barrister by profession.	2	29	12	39	0	My father was not a barrister by profession.	0	negation
145	grunt	He went from grunt to chairman in six years.	Infantrymen in Vietnam were called grunts.	13	35	18	41	1	Infantrymen in Vietnam were not called grunts.	1	negation
146	glimpse	From the window he could catch a glimpse of the lake.	He caught only a glimpse of the professor's meaning.	33	17	40	24	0	He didn't catch only a glimpse of the professor's meaning.	0	negation
147	crash	You can crash here, though it's not very comfortable.	The terrorists crashed the plane into the palace.	8	15	13	22	0	The terrorists didn't crash the plane into the palace.	0	negation
148	exile	He lived in exile.	She lived as an exile.	12	16	17	21	0	She didn't live as an exile.	0	negation
149	embodiment	The embodiment of hope.	A circle was the embodiment of his concept of life.	4	17	14	27	0	A circle was not the embodiment of his concept of life.	0	negation
150	create	Create a poem.	Create one a peer.	0	0	6	6	0	Don't create one a peer.	0	negation
151	sign	Sign an intersection.	This road has been signed.	0	19	4	25	1	This road has not been signed.	1	negation
152	protest	The senator rose to register his protest.	They finished the game under protest to the league president.	33	29	40	36	1	They didn't finish the game under protest to the league president.	1	negation
153	probity	In a world where financial probity may not be widespread.	He enjoys an exaggerated reputation for probity.	27	40	34	47	1	He doesn't enjoy an exaggerated reputation for probity.	1	negation
154	bull	He was a bull of a man.	He made a bad bull of the assignment.	9	14	13	18	0	He didn't make a bad bull of the assignment.	0	negation
155	mince	A mince of mushrooms.	Mince tastes really good fried in a pan with some chopped onion and tomato.	2	0	7	5	1	Mince doesn't taste perfect fried in a pan with some chopped onion and tomato.	1	negation
156	promise	I promise you my best effort.	I promised somebody my time.	2	2	9	10	1	I didn't promise somebody my time.	1	negation
157	scrub	Surgeons must scrub prior to an operation.	She scrubbed his back.	14	4	19	12	0	She didn't scrub his back.	0	negation
158	reflect	People do that sort of thing every day, without ever stopping to reflect on the consequences.	The teacher's ability reflects well on the school.	65	22	72	30	0	The teacher's ability doesn't reflect well on the school.	0	negation
159	meeting	There was no meeting of minds.	The meeting elected a chairperson.	13	4	20	11	0	The meeting didn't elect a chairperson.	0	negation
160	street	Be careful crossing the street.	The whole street protested the absence of lights.	24	10	30	16	0	The whole street didn't protest the absence of lights.	0	negation
161	replicate	On entering a host cell, a virus will start to replicate.	Replicate the cell.	47	0	56	9	1	Don't replicate the cell.	1	negation
162	map	Map the genes.	Map the surface of Venus.	0	0	3	3	0	Don't map the surface of Venus.	0	negation
163	blend	'Smog' is a blend of 'smoke' and 'fog'.	Their music has been described as a blend of jazz and heavy metal.	12	36	17	41	1	Their music has not been described as a blend of jazz and heavy metal.	1	negation
164	transplant	These delicate plants do not transplant easily.	Transplant the young rice plants.	29	0	39	10	0	Don't transplant the young rice plants.	0	negation
165	spade	She led a low spade.	Spades were trumps.	14	0	19	6	1	Spades were not trumps.	1	negation
166	precaution	He put an ice pack on the injury as a precaution.	To take precautions against risks of accident.	38	8	48	19	1	Not to take precautions against risks of accident.	1	negation
167	return	Return her love.	Return a compliment.	0	0	6	6	1	Don't return a compliment.	1	negation
168	collapse	Collapse the music stand.	The school system is collapsing.	0	21	8	31	0	The school system is not collapsing.	0	negation
